Designator,Val,Package,MidX,MidY,Rotation,Layer
.,Spikeling_neuron,Spikeling_Photoreceptor,55.05,-73.9,0,top
.,Spikeling_neuron,Spikeling_Neuron,56,-15.375,0,top
B1,4kHz,BUZ-TH_L12.0-W12.0,90.675,-15.5,0,top
C1,22uF,C_1206,38,-8.3,180,top
C2,10uF,C_0603,47.975,-3.775,90,top
C3,22uF,C_1206,38,-13.95,180,top
C4,100nF,C_0402,39,-16.55,180,top
C5,100nF,C_0402,71.025,-32.72,0,top
C6,100nF,C_0402,46.85,-19.575,90,top
C7,100nF,C_0402,40,-25.55,0,top
C8,100nF,C_0402,90.05,-25.55,180,top
C9,100nF,C_0402,38.3,-71.95,-90,top
C10,3.3pF,C_0402,33.975,-69.175,180,top
C11,1nF,C_0603,112.5,-18.78,-90,top
C12,100nF,C_0402,82,-16,90,top
D1,1N5817WS,SOD-323_L1.8-W1.3-LS2.5-RD,56.425,-10,0,top
D2,LESD5D5.0CT1G,SOD-523_L1.2-W0.8-LS1.6-BI,58.25,-12,180,top
D3,LESD5D5.0CT1G,SOD-523_L1.2-W0.8-LS1.6-BI,62.75,-12,0,top
D4,LESD5D5.0CT1G,SOD-523_L1.2-W0.8-LS1.6-BI,52.725,-10.75,-90,top
D5,Red,D_0603,52.325,-0.85,180,top
D6,BPW34S-Z,SENSOR-TH_BPW34S-Z,41.35,-74.025,0,top
D7,MHPC3528CRGBCT,LED-SMD_4P-L3.2-W2.8-BL,70.8,-10.675,0,top
J1,"Connector, USB-TYPE-C-16P",TYPE-C-SMD_HX-TYPE-C-16PIN,60,-3.75,180,top
J2,PJ-320B贴片,AUDIO-SMD_PJ-320B,6,-74.5,180,top
J3,PJ-320B贴片,AUDIO-SMD_PJ-320B,5.5,-6.1,90,top
J4,PJ-320B贴片,AUDIO-SMD_PJ-320B,5.5,-34,90,top
J5,PJ-320B贴片,AUDIO-SMD_PJ-320B,114,-74.5,180,top
J6,PJ-320B贴片,AUDIO-SMD_PJ-320B,114.5,-14,-90,top
L1,BLM21PG221SN1D,L0805,51.766,-6,180,top
R1,5.1kΩ,R_0603,62,-9,-90,top
R2,5.1kΩ,R_0603,59,-9,-90,top
R3,5.1kΩ,R_0603,48.325,-0.85,0,top
R4,10kΩ,R_0603,72.5,-2.75,180,top
R5,100Ω,R_0603,48.2,-19.575,90,top
R6,0Ω,R_0603,38.66,-10.95,0,top
R7,1MΩ,R_0603,33.975,-70.325,0,top
R8,100Ω,R_0603,114,-68.225,180,top
R9,10Ω,R_0603,110.025,-18.825,-90,top
R10,100Ω,R_0603,76.075,-11.425,0,top
R11,10kΩ,R_0603,87.5,-2.75,0,top
R12,10kΩ,R_0603,107.5,-2.75,0,top
REF**,Spikeling_neuron,Spikeling_Electrode,25.95,-57.2,0,top
SW1,"Tactile Button, 160gf",SW_TS-1088-AR02016,45.925,-14.925,0,top
SW2,SKHHLVA010,KEY-TH_4P-L7.5-W6.8-P4.50-LS7.2,30,-4,180,top
SW3,SKHHLVA010,KEY-TH_4P-L7.5-W6.8-P4.50-LS7.2,80,-4,180,top
SW4,SKHHLVA010,KEY-TH_4P-L7.5-W6.8-P4.50-LS7.2,100,-4,180,top
U1,ESP32-S3-WROOM-1,ESP32-S3-WROOM-1,59.925,-30,180,top
U2,AMS1117,SOT-223-3_L6.5-W3.4-P2.30-LS7.0-BR,45,-8.3,0,top
U3,MCP3208T-CI/SL,SOIC-16_L9.9-W3.9-P1.27-LS6.0-BL,35,-30,-90,top
U4,MCP3208T-CI/SL,SOIC-16_L9.9-W3.9-P1.27-LS6.0-BL,85,-30,-90,top
U5,OPA380AIDGKR,VSSOP-8_L3.0-W3.0-P0.65-LS4.9-BL,33.95,-74.025,-90,top
VR1,10kΩ,RES-TH_RK09D1130C2P,18.55,-70.5,180,top
VR2,10kΩ,RES-TH_RK09D1130C2P,54.12,-70.5,180,top
VR3,10kΩ,RES-TH_RK09D1130C2P,76.5,-70.5,180,top
VR4,10kΩ,RES-TH_RK09D1130C2P,113,-29.472,180,top
VR5,10kΩ,RES-TH_RK09D1130C2P,113,-55.1,180,top
VR6,10kΩ,RES-TH_RK09D1130C2P,7,-16.9,180,top
VR7,10kΩ,RES-TH_RK09D1130C2P,7,-44.9,180,top
